English,Malayalam
stock price f. flat,ഓഹരി വില ഇൻഫോസിസ്
what events are this week,ഈ ആഴ്ച എന്തെല്ലാം സംഭവങ്ങളുണ്ട്
where can i shop around here,എനിക്ക് ഇവിടെ എവിടെ ഷോപ്പിംഗ് നടത്താം
how me the latest news update on b. b. c.,മനോരമ ന്യൂസ് ലെ ഏറ്റവും പുതിയ വാർത്താ അപ്‌ഡേറ്റ് എങ്ങനെ
how it's come to us,അത് എങ്ങനെയാണ് ഞങ്ങൾക്ക് വന്നത്
what is the name of song,ഈ പാട്ടിന്‍റെ പേര് എന്താണ്
olly alert me at three p. m. to go to the concert,olly മൂന്ന് പി എം കച്ചേരിക്ക് പോകാൻ അലേർട്ട് ചെയ്യൂ.
what is the linear equation,എന്താണ് രേഖീയ സമവാക്യം
it seems cold,തണുപ്പ് തോന്നുന്നു
please send a mail to mr. richard stating that i going to met him on first of february twenty seventeen at five p. m. at this office,ദയവായി ശ്രീ. മോഹനന് രണ്ടായിരത്തിപ്പതിനേഴ് ഫെബ്രുവരി ഒന്നാം തീയതി വൈകുന്നേരം അഞ്ച് മണിക്ക് കാര്യാലയത്തിൽ ഞാൻ അദ്ദേഹത്തെ കാണുമെന്ന് ഒരു മെയിൽ അയയ്ക്കുക
can you add up thirteen plus five plus nine for me,എനിക്കായി പതിമൂന്ന് പ്ലസ് അഞ്ച് പ്ലസ് ഒമ്പത് ചേർക്കാമോ
what time is it in austin,ഡൽഹിയിൽ സമയം എത്രയാണ്
open spotify and play list five,സ്പോട്ടിഫൈ തുറന്ന് പ്ലേലിസ്റ്റ് അഞ്ച് അഞ്ച് പ്ലേ ചെയ്യുക
is the alarm to the backdoor set and ready to go,ബാക്ക്‌ഡോർ സെറ്റിലേക്കുള്ള അലാറമാണ് പോകാൻ തയ്യാറാണ്
volume settings please,ദയവായി ശബ്ദ ക്രമീകരണങ്ങളിലേക്ക് പോകൂ
what do you think was the best decade,ഏറ്റവും മികച്ച ദശകം ഏതാണെന്ന് നിങ്ങൾ കരുതുന്നു
how do you define textual,പുസ്തക സംബന്ധിയായ വാചകം നിങ്ങൾ എങ്ങനെ നിർവചിക്കും
save my contacts,എൻ്റെ കോൺടാക്റ്റുകൾ സംരക്ഷിക്കുക
delete item four,ഇനം നാല് ഇല്ലാതാക്കുക
open my calendar,എന്‍റെ കലണ്ടർ തുറക്
please play the broods,ദയവായി തൈക്കുടം ബ്രിഡ്ജ് പ്ലേ ചെയ്യുക
get it in my device,അത് എൻ്റെ ഉപകരണത്തിലാക്കൂ
define session,സെഷൻ നിർവ്വചിക്കുക
set repeating reminder for every sunday,എല്ലാ ഞായറാഴ്ച്ചയും ആവര്‍ത്തിക്കുന്ന ഓര്‍മ്മപ്പെടുത്തലുകള്‍ വയ്ക്കുക
did i get any new emails today from claire,രാധികയിൽ നിന്ന് എനിക്ക് ഇന്ന് എന്തെങ്കിലും പുതിയ ഇമെയിലുകൾ ലഭിച്ചിട്ടുണ്ടോ
order two large pizzas and pieces of hot wings from dominoes,ഡോമിനോയിൽ നിന്ന് രണ്ട് വലിയ പിസ്സകളും ചൂടുള്ള ചിറകുകളുടെ കഷണങ്ങളും ഓർഡർ ചെയ്യുക
find emails about hours from work,ജോലി സമയം മുതൽ ഇമെയിലുകൾ കണ്ടെത്തുക
make a repeating reminder for my work tasks every day at eight am,എല്ലാ ദിവസവും രാവിലെ എട്ട് മണിക്ക് എൻ്റെ ജോലി കാര്യങ്ങൾക്കായി ആവർത്തിച്ചുള്ള റിമൈൻഡർ സജ്ജീകരിക്കുക
read me the latest new york times headlines,ഏറ്റവും പുതിയ ന്യൂയോർക്ക് ടൈംസ് തലക്കെട്ടുകൾ എനിക്ക് വായിക്കൂ
i want to hear music by a band from my playlist,എൻ്റെ പ്ലേലിസ്റ്റിൽ നിന്നുള്ള ഒരു ബാൻഡിൻ്റെ സംഗീതം കേൾക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു
i need to get to location call a cab,എനിക്ക് സ്ഥലത്തേക്ക് പോകണം ഒരു വണ്ടി വിളിക്കുക
is there bad traffic on the highway right now,ഇപ്പോൾ ഹൈവേയിൽ ഗതാഗതം മോശമാണോ
book three round trip train tickets for sunday at seven p. m. return ticket of next week sunday at eight am,അടുത്ത ഞായറാഴ്ച വൈകീട്ട് ഏഴുമണിക്ക് മൂന്ന് റൗണ്ട് ട്രിപ്പ് തീവണ്ടി ടിക്കറ്റ് ബുക്ക് ചെയ്യുക അടുത്ത ആഴ്ച ഞായറാഴ്ച രാവിലെ എട്ട് മണിക്ക് മടക്ക ടിക്കറ്റ്
what's the currency exchange rate for china,ചൈന കറൻസി എക്സ്ചേഞ്ച് നിരക്ക്
play music by queen,യേശു ദാസ് സംഗീതം പ്ലേ ചെയ്യുക
anything interesting going on in the bay area,കടൽത്തീര പ്രദേശത്ത് രസകരമായ എന്തെങ്കിലും നടക്കുന്നുണ്ടോ
time now,ഇപ്പോൾ സമയം
check to see if pizza hut has my order on the way,വഴിയിൽ പിസ്സ ഹട്ടിൽ എൻ്റെ ഓർഡർ ഉണ്ടോയെന്ന് പരിശോധിക്കുക
i want the light switched off can you do it for me,എനിക്ക് വെളിച്ചം എല്ലാം ഓഫാക്കണം എനിക്കുവേണ്ടി അത് ചെയ്യുമോ
go to map,ഭൂപടത്തിലേക്ക് പോകുക
i would like to continue my audiobook,എന്‍റെ ഓഡിയോപുസ്തകം തുടരാൻ ഞാൻ ആഗ്രഹിക്കുന്നു
where can i find that recipe for magic cookie bars,കപ്പലണ്ടി മുട്ടായി പാചകക്കുറിപ്പ് എനിക്ക് എവിടെ കണ്ടെത്താനാകും
tell me the current weather in new york city,കാഞ്ഞങ്ങാട്ടെ ഇപ്പോഴത്തെ കാലാവസ്ഥ പറയൂ
book a cab which have cheapest price,ഏറ്റവും കുറഞ്ഞ നിരക്കുളള കാർ നിലപാട് ആക്കി തരുക
this article is super cool can you share the link to facebook for me,ഈ ലേഖനം വളരെ രസകരമാണ് എനിക്കായി ഫേസ്ബുക്കിലേക്കുള്ള ലിങ്ക് നിങ്ങൾക്ക് പങ്കിടാമോ
what's trending,എന്താണ് ട്രെൻഡിംഗ്
repeat the current song,ഈ പാട്ട് ആവര്‍ത്തിക്കുക
color change of lights,വിളക്കുകളുടെ നിറം മാറ്റുക
tell me about the most recent road construction on route seventy,എഴുപത് റൂട്ടിലെ ഏറ്റവും പുതിയ റോഡ് നിർമ്മാണത്തെക്കുറിച്ച് എന്നോട് പറയൂ
hey olly what will the weather be like to today in los angeles california,ഹേയ് ഓളി കേരളത്തിലെ തിരുവനന്തപുരത്ത് ഇന്ന് കാലാവസ്ഥ എങ്ങനെയായിരിക്കും
guess what happened today,ഇന്ന് എന്താണ് സംഭവിച്ചതെന്ന് ഊഹിക്കുക
i want the status on my screen brightness,എനിക്ക് എൻ്റെ സ്‌ക്രീൻ തെളിച്ചത്തിൽ സ്റ്റാറ്റസ് വേണം
play lady by kenny roger,യേശുദാസിന്‍റെ ഗംഗേ വയ്ക്കുക
tennis,ടെന്നീസ്
add a marriage celebration party on this sunday,ഈ ഞായറാഴ്ച ഒരു വിവാഹ ആഘോഷ പാർട്ടി ചേർക്കുക
do i have a sales meeting today,എനിക്ക് ഇന്ന് വിൽപ്പന യോഗം ഉണ്ടോ
please make the lights natural,ലൈറ്റുകൾ സ്വാഭാവികമായത് ആക്കുക
change your colors to something different,നിങ്ങളുടെ നിറങ്ങൾ കുറച്ചു വെത്യാസം ഉള്ളതാക്കി മാറ്റുക
email happy new year to john,സാമിന് പുതുവത്സരാശംസകൾ എന്നു ഈമെയില്‍ ചെയ്യുക
what's the exchange rate between the us dollar and the euro,ഇന്ത്യൻ രൂപ യൂറോ തമ്മിലുള്ള വിനിമയ നിരക്ക് എത്രയാണ്
